Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,sku_id
Fruits & Vegetables,Onion,2500,16,3,2100,1000,FALSE,1,1
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,FALSE,1,2
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,FALSE,1,3
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,FALSE,100,4
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,FALSE,250,5
Fruits & Vegetables,Potato,3500,17,3,2900,1000,FALSE,1,6
Fruits & Vegetables,Lemon,7500,16,3,6300,200,FALSE,200,7
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,FALSE,1,8
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,FALSE,250,9
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,FALSE,100,10
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,FALSE,6,11
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,FALSE,100,12
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,FALSE,1,13
Fruits & Vegetables,Ginger,1400,14,3,1200,200,FALSE,200,14
Fruits & Vegetables,Spinach,1900,15,3,1600,250,FALSE,250,15
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,FALSE,1,16
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,FALSE,1,17
Fruits & Vegetables,Methi,3000,16,3,2500,250,FALSE,250,18
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,FALSE,500,19
Fruits & Vegetables,Sapota,3000,16,3,2500,348,FALSE,6,20
Fruits & Vegetables,Onion,6800,16,3,5700,3000,FALSE,3,21
Fruits & Vegetables,Potato,10000,16,3,8400,3000,FALSE,3,22
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,FALSE,4,23
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,FALSE,100,24
Fruits & Vegetables,Beans French,3300,15,3,2800,250,FALSE,250,25
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,FALSE,1,26
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,FALSE,6,27
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,FALSE,1,28
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,FALSE,50,29
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,FALSE,1,30
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,FALSE,250,31
Fruits & Vegetables,Papaya,5400,16,3,4500,58,FALSE,1,32
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,FALSE,4,33
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,FALSE,250,34
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,FALSE,250,35
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,FALSE,2,36
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,FALSE,250,37
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,FALSE,2,38
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,FALSE,2,39
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,FALSE,2,40
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,FALSE,500,41
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,FALSE,250,42
Fruits & Vegetables,Guava,5400,16,3,4500,232,FALSE,4,43
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,FALSE,4,44
Fruits & Vegetables,Amla,3200,15,3,2700,250,FALSE,250,45
Fruits & Vegetables,Beans Cluster,3000,16,3,2500,250,FALSE,250,46
Fruits & Vegetables,Apple Royal Gala,18900,15,3,15900,232,FALSE,4,47
Fruits & Vegetables,Chilli Bhaji,3000,16,3,2500,250,FALSE,250,48
Fruits & Vegetables,Lettuce Green,2300,17,3,1900,100,FALSE,100,49
Fruits & Vegetables,Baby Corn Peeled,3500,17,3,2900,250,FALSE,250,50
Fruits & Vegetables,Mixed Sprouts,3500,17,3,2900,200,FALSE,200,51
Fruits & Vegetables,Zucchini Green,3500,17,3,2900,250,FALSE,250,52
Fruits & Vegetables,Beans Broad,4200,16,3,3500,250,FALSE,250,53
Fruits & Vegetables,Raw Banana,2000,15,6,1700,500,FALSE,500,54
Fruits & Vegetables,Colocasia ,2900,17,6,2400,500,FALSE,500,55
Fruits & Vegetables,Tomato Cherry ,3500,17,3,2900,200,FALSE,200,56
Fruits & Vegetables,Sweet Potato ,3800,15,3,3200,500,FALSE,500,57
Fruits & Vegetables,Pineapple Slice,8900,15,3,7500,200,FALSE,200,58
Fruits & Vegetables,Orange,5400,16,3,4500,116,FALSE,2,59
Fruits & Vegetables,Dragon Fruit Imported,7000,15,3,5900,58,FALSE,1,60
Fruits & Vegetables,Zucchini Yellow,4200,16,3,3500,250,FALSE,500,61
Fruits & Vegetables,Apple Kinnaur,14200,16,6,11900,232,FALSE,4,62
Fruits & Vegetables,Pineapple,9400,15,3,7900,58,FALSE,1,63
Fruits & Vegetables,Basil,2000,15,3,1700,100,FALSE,100,64
Fruits & Vegetables,Parsley,1700,17,3,1400,100,FALSE,100,65
Fruits & Vegetables,Ridge Gourd,3000,16,3,2500,500,FALSE,500,66
Fruits & Vegetables,Papaya Cut,4600,15,3,3900,200,FALSE,200,67
Fruits & Vegetables,Pomegranate Peeled,5800,15,2,4900,100,FALSE,100,68
Fruits & Vegetables,Pear Green Imported,8200,15,3,6900,116,FALSE,2,69
Fruits & Vegetables,Guava Thai,7000,15,3,5900,116,FALSE,2,70
Fruits & Vegetables,Lettuce Red,2000,15,3,1700,100,FALSE,100,71
Fruits & Vegetables,Mango Raw,6000,16,3,5000,500,FALSE,500,72
Fruits & Vegetables,Biryani /Pulav Mix,5800,15,3,4900,250,FALSE,250,73
Fruits & Vegetables,Banana Nendran,5400,16,6,4500,500,FALSE,500,74
Fruits & Vegetables,Pumpkin Cut,3000,16,3,2500,200,FALSE,200,75
Fruits & Vegetables,Banana Red,5400,16,6,4500,500,FALSE,500,76
Fruits & Vegetables,Radish White,2300,17,6,1900,500,FALSE,500,77
Fruits & Vegetables,Avocado Indian Premium,17700,15,3,14900,58,FALSE,1,78
Fruits & Vegetables,Banana Leaf,1200,16,2,1000,58,FALSE,1,79
Fruits & Vegetables,Sponge Gourd,2500,16,2,2100,300,FALSE,300,80
Fruits & Vegetables,Zama Organics Carrot,2000,15,3,1700,250,FALSE,250,81
Fruits & Vegetables,Safal Frozen - Mixed Vegetables,11000,4,2,10500,1000,FALSE,1,82
Fruits & Vegetables,Zama Organics Sweet Potato,3700,16,3,3100,250,FALSE,250,83
Fruits & Vegetables,Beetroot,1600,18,3,1300,500,FALSE,500,84
Fruits & Vegetables,Capsicum,2600,19,3,2100,500,FALSE,500,85
Fruits & Vegetables,Carrot,1900,21,3,1500,500,FALSE,500,86
Fruits & Vegetables,Garlic,1700,23,3,1300,200,FALSE,200,87
Fruits & Vegetables,Carrot,1300,15,0,1100,250,TRUE,200,88
Fruits & Vegetables,Beetroot,1100,18,0,900,250,TRUE,250,89
Fruits & Vegetables,Moong Sprouts,3500,17,0,2900,200,TRUE,200,90
Fruits & Vegetables,Safal Frozen Mixed Vegetables,6000,5,0,5700,500,TRUE,500,91
Fruits & Vegetables,Safal Frozen Corn,4100,4,0,3900,200,TRUE,200,92
Fruits & Vegetables,Safal Frozen - Sweet Corn,16000,5,0,15200,1000,TRUE,1,93
Cooking Essentials,Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,FALSE,70,94
Cooking Essentials,iD Idli & Dosa Batter ,8000,15,6,6800,1000,FALSE,1,95
Cooking Essentials,Tata Salt,2400,0,6,2400,1000,FALSE,1,96
Cooking Essentials,Arden Eggs White,9700,0,4,9700,696,FALSE,12,97
Cooking Essentials,Arden Eggs White,6500,15,4,5500,348,FALSE,6,98
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),23000,4,6,21900,1000,FALSE,1,99
Cooking Essentials,Aashirvaad Superior MP Atta,25000,2,6,24500,5000,FALSE,5,100
Cooking Essentials,Amul Pure Ghee (Pouch),25500,2,6,24900,500,FALSE,500,101
Cooking Essentials,Arden Eggs Brown,8500,7,4,7900,348,FALSE,6,102
Cooking Essentials,Tata Salt Lite,4000,10,6,3600,1000,FALSE,1,103
Cooking Essentials,Saffola Gold Oil (Pouch),21500,0,6,21500,1000,FALSE,1,104
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),92500,0,6,92500,5000,FALSE,5,105
Cooking Essentials,Fortune Rice Bran (Pouch),22500,11,6,19900,1000,FALSE,1,106
Cooking Essentials,Saffola Active Oil,21000,0,6,21000,1000,FALSE,1,107
Cooking Essentials,Amul Pure Ghee (Pouch),50500,1,2,49900,1000,FALSE,1,108
Cooking Essentials,Aashirvaad Atta,46000,13,6,39900,10000,FALSE,10,109
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),16000,6,4,14900,1000,FALSE,1,110
Cooking Essentials,Amul Ghee (Tin),52000,2,6,50900,1000,FALSE,1,111
Cooking Essentials,Amul Fresh Cream,19700,3,3,19100,1000,FALSE,1,112
Cooking Essentials,Popular Essentials Pure Jaggery,5000,2,6,4900,450,FALSE,450,113
Cooking Essentials,Aashirvaad Multigrain Atta,6400,3,2,6200,1000,FALSE,1,114
Cooking Essentials,Fortune Soyabean Oil,100500,0,6,99900,5000,FALSE,5,115
Cooking Essentials,Popular Essentials Sunflower Seeds,2500,0,6,2500,50,FALSE,50,116
Cooking Essentials,Tata Sampann kabuli chana,18500,1,4,18300,1000,FALSE,500,117
Cooking Essentials,Dhara Groundnut Oil (Pouch),23000,11,6,20300,1000,FALSE,1,118
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,120000,18,6,98400,5000,FALSE,5,119
Cooking Essentials,24 Mantra Organic Jaggery Powder,8000,15,6,6800,500,FALSE,500,120
Cooking Essentials,Tata Sampann High Protien Kabuli Chana,9400,0,1,9400,500,FALSE,500,121
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,125000,8,6,114300,5000,FALSE,5,122
Cooking Essentials,D'lecta Dairy Cream,5400,5,6,5100,200,FALSE,200,123
Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,1500,0,3,1500,60,FALSE,60,124
Cooking Essentials,Dabur Ginger Garlic Paste,2500,8,3,2300,100,FALSE,100,125
Cooking Essentials,Ching's Secret Instant Schezwan Noodles,1500,0,6,1500,60,FALSE,60,126
Cooking Essentials,Gowardhan Ghee/Tuppa Jar,31500,1,6,30900,500,FALSE,500,127
Cooking Essentials,Tata Sampann Unpolished Moong Dal ,9200,4,4,8800,500,FALSE,500,128
Cooking Essentials,Aashirvaad Select Atta,6400,0,6,6400,1000,FALSE,1,129
Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar) ,1500,0,4,1500,100,FALSE,100,130
Cooking Essentials,Gowardhan Ghee Jar,59800,3,6,57900,1000,FALSE,1,131
Cooking Essentials,Top Ramen  Noodles Curry Veg Pouch,2000,0,1,2000,70,FALSE,70,132
Cooking Essentials,Popular Essentials Refined Sugar,6000,0,6,6000,1000,FALSE,1,133
Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,21600,7,6,19900,1000,FALSE,1,134
Cooking Essentials,Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,FALSE,38,135
Cooking Essentials,Satyam Puffed Rice Kurmura (R),2300,0,6,2300,200,FALSE,200,136
Cooking Essentials,Quaker Oats,7900,0,2,7900,400,FALSE,400,137
Cooking Essentials,Aashirvaad Select Sharbati Atta,31500,10,6,28300,5000,FALSE,5,138
Cooking Essentials,Popular Essentials Refined Sugar,29500,10,6,26500,5000,FALSE,5,139
Cooking Essentials,Gowardhan Cow Ghee Pouch,57900,10,6,52100,1000,FALSE,1,140
Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,21000,5,6,19900,1000,FALSE,1,141
Cooking Essentials,Parachute Oil ,4000,7,3,3700,100,FALSE,100,142
Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),1800,0,6,1800,100,FALSE,100,143
Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,FALSE,200,144
Cooking Essentials,Saffola Gold (Jar),124000,0,6,124000,5000,FALSE,5,145
Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,FALSE,240,146
Cooking Essentials,Fortune Rice Bran Health Oil (Jar),105000,1,6,103900,5000,FALSE,5,147
Cooking Essentials,Arden Desi Eggs,11000,13,4,9500,348,FALSE,6,148
Cooking Essentials,Fortune Rozana Basmati Rice,58500,21,6,46200,5000,FALSE,5,149
Cooking Essentials,Fortune Biriyani Special Basmati Rice,17500,0,5,17500,1000,FALSE,1,150
Cooking Essentials,Everest Garam Masala,7800,7,5,7200,100,FALSE,100,151
Cooking Essentials,Popular Essentials Pumpkin Seeds,9000,16,6,7500,100,FALSE,100,152
Cooking Essentials,Fortune Soya Health Refined Soybean Oil,21000,1,2,20600,1000,FALSE,1,153
Cooking Essentials,Gowardhan Pure Ghee Pouch,29500,4,6,28100,500,FALSE,500,154
Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,4000,5,3,3800,100,FALSE,100,155
Cooking Essentials,Weikfield Baking Soda,3000,3,6,2900,100,FALSE,100,156
Cooking Essentials,Everest Pav Bhaji Masala,3700,10,4,3300,50,FALSE,50,157
Cooking Essentials,Tata Sampann Unpolished Chana Dal,9500,6,2,8900,1000,FALSE,500,158
Cooking Essentials,Amul Mithai Mate EOE Tin,11200,2,6,10900,400,FALSE,400,159
Cooking Essentials,Pillsbury Chakki Fresh Atta,45000,16,6,37500,10000,FALSE,10,160
Cooking Essentials,Everest Chicken Masala,3900,2,1,3800,50,FALSE,50,161
Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),20500,7,6,19000,1000,FALSE,1,162
Cooking Essentials,Borges Extra Virgin Olive Oil,40000,25,1,29900,250,FALSE,250,163
Cooking Essentials,Everest Shahi Biryani Masala,7000,14,6,6000,50,FALSE,50,164
Cooking Essentials,Popular Essentials Californian Almond,35000,28,6,25100,250,FALSE,250,165
Cooking Essentials,Popular Essentials Ajwain Whole,2500,0,4,2500,50,FALSE,50,166
Cooking Essentials,Everest Tikhalal Chilli Powder,23500,9,6,21200,500,FALSE,500,167
Cooking Essentials,Popular Essentials Kabuli Chana Regular,8500,9,6,7700,500,FALSE,500,168
Cooking Essentials,Pillsbury Chakki Fresh Atta,5200,0,4,5200,1000,FALSE,1,169
Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,4500,2,6,4400,100,FALSE,100,170
Cooking Essentials,Popular Essentials Bansi Sooji,3500,2,3,3400,500,FALSE,500,171
Cooking Essentials,Happilo Premium International Queen Kalmi Dates,24500,29,6,17200,200,FALSE,200,172
Cooking Essentials,Tata Sampann Unpolished Urad Whole,10100,6,4,9400,500,FALSE,500,173
Cooking Essentials,Popular Essentials Cashew Split,32500,12,6,28300,250,FALSE,250,174
Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),6000,10,6,5400,500,FALSE,500,175
Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),13400,6,6,12500,500,FALSE,500,176
Cooking Essentials,Everest Garam Masala,4200,2,2,4100,50,FALSE,50,177
Cooking Essentials,Everest Kitchen King Masala,7000,14,2,6000,100,FALSE,100,178
Cooking Essentials,24 Mantra Organic Cumin,7000,7,2,6500,100,FALSE,100,179
Cooking Essentials,Nestle Milkmaid,13200,3,6,12800,400,FALSE,400,180
Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,6500,9,6,5900,1000,FALSE,1,181
Cooking Essentials,24 Mantra Organic Tur Dal,26000,20,6,20800,1000,FALSE,1,182
Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,9900,10,6,8900,200,FALSE,200,183
Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),6500,10,3,5800,500,FALSE,500,184
Cooking Essentials,24 Mantra Organic Peanuts,13500,7,1,12500,500,FALSE,500,185
Cooking Essentials,Everest Hingraj Powder,9000,10,2,8100,50,FALSE,50,186
Cooking Essentials,Everest Black Pepper Powder,13500,14,6,11500,100,FALSE,100,187
Cooking Essentials,Tata Sampann Masoor Dal Stand,15000,10,4,13400,1000,FALSE,1,188
Cooking Essentials,24 Mantra Organic Besan,9500,7,5,8800,500,FALSE,500,189
Cooking Essentials,Quaker Oats,19900,7,6,18400,1000,FALSE,1,190
Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),48500,7,6,44900,2000,FALSE,2,191
Cooking Essentials,Nestle Everyday Dairy Whitener,21000,0,4,21000,400,FALSE,400,192
Cooking Essentials,24 Mantra Organic Red Poha,7500,8,1,6900,500,FALSE,500,193
Cooking Essentials,Everest Powder - Tea Masala,9800,9,5,8900,100,FALSE,100,194
Cooking Essentials,Tata Sampann Urad Dal Split,9400,4,6,9000,500,FALSE,500,195
Cooking Essentials,Popular Essentials Idli Sooji ,3000,6,6,2800,500,FALSE,500,196
Cooking Essentials,Popular Essentials Dessicated Coconut,9500,9,6,8600,200,FALSE,200,197
Cooking Essentials,Sunfeast Yippee! Mood Masala Noodles,6000,28,3,4300,260,FALSE,260,198
Cooking Essentials,Chef's Basket Durum Wheat Elbow Pasta,16000,50,6,8000,500,FALSE,500,199
Cooking Essentials,MTR Breakfast Khatta Meetha Poha Mix,2500,20,6,2000,60,FALSE,60,200
Cooking Essentials,Satyam Khobra,11300,10,5,10100,200,FALSE,200,201
Cooking Essentials,Betty Crocker Complete Pancake Mix Original,11000,4,6,10500,250,FALSE,500,202
Cooking Essentials,Borges Durum Wheat Fusilli Pasta ,25000,0,3,25000,500,FALSE,500,203
Cooking Essentials,24 Mantra Organic Green Moong Dal - Split,13500,0,2,13500,500,FALSE,500,204
Cooking Essentials,Weikfield Vanilla Flavoured Custard Powder,3700,0,6,3700,100,FALSE,100,205
Cooking Essentials,Tata Sampann Moong Dal Split,18000,1,5,17800,1000,FALSE,200,206
Cooking Essentials,Tata Sampann Kala Chana,6400,0,5,6400,500,FALSE,500,207
Cooking Essentials,Saffola Soya Chunks Mealmaker,5000,0,2,5000,200,FALSE,200,208
Cooking Essentials,24 Mantra Bura Sugar (Demerara),8000,10,6,7200,500,FALSE,500,209
Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),20000,1,6,19800,50,FALSE,50,210
Cooking Essentials,Hershey's Syrup Delicious Strawberry,9500,0,1,9500,200,FALSE,200,211
Cooking Essentials,Popular Essentials Anjeer,19000,11,4,16900,100,FALSE,100,212
Cooking Essentials,Popular Essentials Mustard Seeds Rai Small,2000,0,2,2000,100,FALSE,100,213
Cooking Essentials,Weikfield Baking Powder,3300,3,6,3200,100,FALSE,100,214
Cooking Essentials,Dabur Honey Squeezy,18500,9,6,16700,225,FALSE,225,215
Cooking Essentials,Tata Sampann High Protein Kali Urad,9100,14,6,7800,500,FALSE,500,216
Cooking Essentials,Everest Kitchen King Masala,3700,2,6,3600,50,FALSE,50,217
Cooking Essentials,Chef's Basket Durum Wheat Fusilli Pasta,16000,50,6,8000,500,FALSE,500,218
Cooking Essentials,TilSona Til Oil,18000,10,2,16200,500,FALSE,500,219
Cooking Essentials,Top Ramen Chicken Noodles,6000,10,1,5400,280,FALSE,280,220
Cooking Essentials,Everest Chaat Masala,3500,2,1,3400,50,FALSE,50,221
Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,8900,10,2,8000,40,FALSE,40,222
Cooking Essentials,Popular Essentials White Peas (Un-Polished),8000,10,5,7200,500,FALSE,500,223
Cooking Essentials,Ching’s Secret Chowmein Hakka Noodles Masala ,4400,0,2,4400,60,FALSE,60,224
Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),105000,1,6,103500,5000,FALSE,5,225
Cooking Essentials,Pillsbury Choco Chip Pancake Mix,9900,5,6,9400,165,FALSE,165,226
Cooking Essentials,Hershey's Caramel Syrup,23000,0,1,23000,623,FALSE,623,227
Cooking Essentials,Pillsbury Multi Grain Atta,6000,6,3,5600,1000,FALSE,1,228
Cooking Essentials,McCain New Mini Samosa with Cheese Corn Style Filling,12000,1,2,11800,240,FALSE,240,229
Cooking Essentials,Satyam Puffed Rice Kurmura (A),4300,0,6,4300,200,FALSE,200,230
Cooking Essentials,MTR 3 Min Poha,2500,0,6,2500,60,FALSE,60,231
Cooking Essentials,Ching's Manchurian Instant Noodles,1500,0,5,1500,60,FALSE,60,232
Cooking Essentials,Everest Pav Bhaji Masala,7000,0,2,7000,100,FALSE,100,233
Cooking Essentials,Hershey's Chocolate Flavour Syrup,22000,6,6,20500,623,FALSE,680,234
Cooking Essentials,Popular Essentials Dhania (Coriander Seeds),5500,16,4,4600,200,FALSE,200,235
Cooking Essentials,24 Mantra Red Chilly Whole,7000,7,1,6500,100,FALSE,100,236
Cooking Essentials,Dabur Honey - World's No.1,12000,0,6,12000,250,FALSE,250,237
Cooking Essentials,24 Mantra Organic Puffed Rice,4000,2,6,3900,200,FALSE,200,238
Cooking Essentials,24 Mantra Organic Wheat Daliya ,4800,2,2,4700,500,FALSE,500,239
Cooking Essentials,24 Mantra Organic Ragi Flour,6500,20,4,5200,500,FALSE,500,240
Cooking Essentials,Popular Essentials Cinnamon Whole (Dalchini),3500,5,6,3300,25,FALSE,25,241
Cooking Essentials,Sundrop Super Lite Advanced - Sunflower Oil,21500,0,4,21500,1000,FALSE,1,242
Cooking Essentials,Pillsbury Atta/Godihittu - Chakki Fresh,10200,7,4,9400,2000,FALSE,2,243
Cooking Essentials,Popular Essentials Green Moong Chilka/Chilka (Un-Polished),8500,7,5,7900,500,FALSE,500,244
Cooking Essentials,Popular Essentials HMT Kolam Steam,7500,0,3,7500,1000,FALSE,1,245
Cooking Essentials,Popular Essentials Black Urad Split,8000,10,4,7200,500,FALSE,500,246
Cooking Essentials,Keya Oregano,10900,10,5,9800,9,FALSE,9,247
Cooking Essentials,Popular Essentials Pink Rajma,10000,10,6,9000,500,FALSE,500,248
Cooking Essentials,Everest Chicken Masala,7400,2,6,7200,100,FALSE,100,249
Cooking Essentials,Popular Essentials HMT Kolam Steam,37000,10,6,33300,5000,FALSE,5,250
Cooking Essentials,Everest Shahi Paneer Masala,4200,4,5,4000,50,FALSE,50,251
Cooking Essentials,Godrej Yummiez Chicken Nuggets,32500,9,1,29300,500,FALSE,500,252
Cooking Essentials,Flying Bird Vanilla Essence,3500,2,6,3400,20,FALSE,20,253
Cooking Essentials,Everest Sabji Masala,3000,3,6,2900,50,FALSE,50,254
Cooking Essentials,Popular Essentials Californian Almond,69500,32,6,47000,500,FALSE,500,255
Cooking Essentials,Cornitos Cornitos Taco Shells - 4 Inches,11000,20,6,8800,80,FALSE,80,256
Cooking Essentials,Everest Rajma Masala,3300,3,5,3200,50,FALSE,50,257
Cooking Essentials,Popular Essentials White Til,4000,5,1,3800,100,FALSE,100,258
Cooking Essentials,Amul Dark Compound Chocolate Slab,12500,2,6,12200,500,FALSE,500,259
Cooking Essentials,Mothers Recipe Papad Chana Masala,7900,10,6,7100,200,FALSE,200,260
Cooking Essentials,Ching's Schezwan Masala Instant Noodles,6000,0,1,6000,240,FALSE,240,261
Cooking Essentials,Amul Milk Compound Chocolate Slab,11000,2,6,10700,500,FALSE,500,262
Cooking Essentials,Eastern Chicken Masala,7000,7,3,6500,100,FALSE,100,263
Cooking Essentials,Popular Essentials Methi Seeds,2500,0,5,2500,100,FALSE,100,264
Cooking Essentials,Saffola Yummy Masala Noodles ,2000,0,2,2000,46,FALSE,46,265
Cooking Essentials,Cadbury Hot Chocolate,17500,5,6,16600,200,FALSE,200,266
Cooking Essentials,Ching's Chicken Chilli Masala,1000,0,6,1000,20,FALSE,20,267
Cooking Essentials,Dabur Keora water - Authentic flavour for Biryani's and Desserts,6200,6,6,5800,250,FALSE,250,268
Cooking Essentials,Popular Essentials Black Cardamom/Elaichi ,10000,10,6,9000,50,FALSE,50,269
Cooking Essentials,Popular Essentials Idli Rice,6000,10,4,5400,1000,FALSE,1,270
Cooking Essentials,Everest Chole Masala,3300,3,1,3200,50,FALSE,50,271
Cooking Essentials,Dabur Hommade Tamarind Paste,4800,6,6,4500,200,FALSE,200,272
Cooking Essentials,"""Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)""",3500,2,6,3400,48,FALSE,48,273
Cooking Essentials,Popular Essentials Cooking Soda,3000,10,6,2700,200,FALSE,200,274
Cooking Essentials,RRO Primio Refined Groundnut Oil Pet Bottle,25500,6,2,23900,1000,FALSE,1,275
Cooking Essentials,Everest Pani Puri Masala,3100,3,6,3000,50,FALSE,50,276
Cooking Essentials,Nissin Cup Noodles Tangy Tomato,5000,10,2,4500,70,FALSE,70,277
Cooking Essentials,Ching's Veg Manchurian Masala,1000,0,2,1000,20,FALSE,20,278
Cooking Essentials,Ceres Foods Fish Mustard Instant Liquid Masala,22000,50,6,11000,200,FALSE,200,279
Cooking Essentials,Everest Garam Masala,15800,10,6,14200,200,FALSE,200,280
Cooking Essentials,24 Mantra Organic Jowar Flour,7000,7,6,6500,500,FALSE,500,281
Cooking Essentials,Maggi Coconut Milkpowder,10000,0,6,10000,100,FALSE,100,282
Cooking Essentials,On1y Pepper Grinder,15900,9,1,14400,50,FALSE,50,283
Cooking Essentials,Popular Essentials Rice Flour,6000,0,3,6000,1000,FALSE,1,284
Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,10,1,2500,65,FALSE,65,285
Cooking Essentials,24 Mantra Organic Brown Sona Masoori Rice,9500,0,6,9500,1000,FALSE,1,286
Cooking Essentials,Happilo Premium Afghani Anjeer,36500,29,2,25600,200,FALSE,200,287
Cooking Essentials,Popular Essentials Chiroti Sooji,3500,2,6,3400,500,FALSE,500,288
Cooking Essentials,RRO Til Dil Premium Til Oil Bottle,33000,10,5,29400,1000,FALSE,1,289
Cooking Essentials,Popular Essentials Red Rajma,9000,10,6,8100,500,FALSE,500,290
Cooking Essentials,Cornitos Peanut - Premium Salted ,12000,10,6,10800,150,FALSE,150,291
Cooking Essentials,Popular Essentials Black Pepper,10000,10,5,9000,100,FALSE,100,292
Cooking Essentials,24 Mantra Organic Tur Dal - Split,13000,7,6,12000,500,FALSE,500,293
Cooking Essentials,Sugarfree Gold Low Calorie Sweetner,6500,6,3,6100,110,FALSE,100,294
Cooking Essentials,Ching's Secret Paneer Chilli Masala,1000,0,2,1000,20,FALSE,20,295
Cooking Essentials,Dabur Honey ,22000,7,3,20400,500,FALSE,500,296
Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,17,3,2300,65,FALSE,65,297
Cooking Essentials,Everest Tea Masala,5500,9,2,5000,50,FALSE,50,298
Cooking Essentials,Ching's Paneer Chilli Masala,4400,0,4,4400,60,FALSE,60,299
Cooking Essentials,Sunfeast YiPPee! Magic Masala Noodles,7000,10,3,6300,405,FALSE,405,300
Cooking Essentials,Everest Meat Masala Powder,7400,9,3,6700,100,FALSE,100,301
Cooking Essentials,Pillsbury Atta With Multigrains Wheat Grains,29500,16,6,24500,5000,FALSE,5,302
Cooking Essentials,Mother's Recipe Tamarind Paste,5000,2,6,4900,200,FALSE,200,303
Cooking Essentials,Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,4900,8,6,4500,200,FALSE,200,304
Cooking Essentials,Popular Essentials Cloves (Lavang),7500,17,6,6200,50,FALSE,50,305
Cooking Essentials,Sunfeast Yippee! Power Up Atta Noodles,9600,15,6,8100,280,FALSE,280,306
Cooking Essentials,Suhana Paneer Tikka Masala Mix,4000,5,6,3800,50,FALSE,50,307
